Number,Theme,Year,Set name,RRP (USD),Value new (USD),Value used (USD),Launch date,Exit date
1817-1,Town,1996,Sea Plane with Hut and Boat,15.0,29.75,32.74,01/03/1996,31/12/2001
4559-1,Trains,1996,Cargo Railway,130.0,762.15,216.43,01/07/1996,30/01/1999
4565-1,Trains,1996,Freight and Crane Railway,140.0,589.41,243.55,01/09/1996,31/12/2002
5876-1,Belville,1996,Belville Hospital Ward,30.0,75.0,40.88,01/08/1996,31/12/1998
6024-1,Castle,1996,Bandit Ambush,6.5,213.75,78.79,01/06/1996,31/12/1998
6135-1,Aquazone,1996,Spy Shark,8.75,20.0,11.79,01/01/1996,31/12/1997
6145-1,Aquazone,1996,Crystal Crawler,12.0,94.67,17.05,01/04/1996,31/12/1998
6190-1,Aquazone,1996,Shark's Crystal Cave,50.0,400.0,106.77,01/07/1996,31/12/1997
6244-1,Pirates,1996,Armada Sentry,8.75,166.4,45.89,01/04/1996,31/12/1996
6334-1,Town,1996,Wave Jump Racers,20.0,61.48,32.6,01/07/1996,31/12/1997
6337-1,Town,1996,Fast Track Finish,40.0,279.53,109.57,01/07/1996,31/12/1997
6491-1,Time Cruisers,1996,Rocket Racer,4.5,24.89,6.27,01/07/1996,31/12/1998
6492-1,Time Cruisers,1996,Hypno Cruiser,22.0,157.5,31.83,01/07/1996,31/12/1998
6493-1,Time Cruisers,1996,Flying Time Vessel,44.0,102.83,44.87,01/07/1996,31/12/1998
6518-1,Town,1996,Baja Buggy,3.5,12.12,3.25,01/07/1996,31/12/1997
6581-1,Town,1996,Dig 'N' Dump,13.25,58.69,14.56,01/07/1996,31/12/1997
6598-1,Town,1996,Metro PD Station,66.0,476.62,135.0,01/01/1996,31/12/1997
6615-1,Town,1996,Eagle Stunt Flyer,8.75,40.0,11.3,01/07/1996,31/12/1997
6712-1,Western,1996,Sheriff's Showdown,4.0,51.5,16.53,01/09/1996,31/12/1998
6716-1,Western,1996,Covered Wagon,8.0,127.17,42.71,01/09/1996,31/12/1998
6755-1,Western,1996,Sheriff's Lock-Up,25.0,381.04,68.37,01/08/1996,31/12/1998
6769-1,Western,1996,Fort Legoredo,85.0,705.44,217.35,01/10/1996,31/12/1998
6854-1,Space,1996,Alien Fossilizer,6.0,86.18,13.36,01/04/1996,31/12/1996
6856-1,Space,1996,Planetary Decoder,8.0,68.77,11.98,01/04/1996,31/12/1997
6899-1,Space,1996,Nebula Outpost,15.0,162.29,31.61,01/04/1996,31/12/1997
6938-1,Space,1996,Scorpion Detector,24.0,154.0,37.25,01/04/1996,31/12/1996
6958-1,Space,1996,Android Base,40.0,315.0,87.24,01/01/1996,31/12/1997
6982-1,Space,1996,Explorien Starship,80.0,341.83,113.88,01/01/1996,31/12/1997
8207-1,Technic,1996,Dune Duster,8.0,14.75,6.57,01/01/1996,31/12/1998
8244-1,Technic,1996,Convertables,33.0,53.39,26.78,01/01/1996,31/12/1998
8408-1,Technic,1996,Desert Ranger,30.0,54.67,27.99,01/08/1996,31/12/1998
8443-1,Technic,1996,Pneumatic Log Loader,59.0,234.32,47.44,01/08/1996,31/12/1998
8456-1,Technic,1996,Fiber Optic Multi Set,74.0,132.1,48.29,01/08/1996,31/12/1998
8480-1,Technic,1996,Space Shuttle,158.0,831.51,277.56,01/08/1996,31/12/1998
2129-1,Technic,1997,Blast-Off Dragster,7.0,20.16,5.69,01/01/1997,31/12/1998
2147-1,Town,1997,Dragon Fly,28.0,26.24,19.55,01/01/1997,31/12/2000
