Year,Theme,Set Count
1953,System,4
1954,System,20
1955,System,37
1956,System,24
1957,System,25
1958,Promotional,1
1958,System,50
1959,System,8
1960,Dacta,1
1960,System,1
1961,Dacta,1
1961,Samsonite,51
1961,System,20
1962,Samsonite,3
1962,System,15
1963,Samsonite,8
1963,System,17
1964,Samsonite,9
1964,System,33
1965,Dacta,4
1965,Samsonite,9
1965,System,18
1966,Books,1
1966,Samsonite,72
1966,System,89
1966,Trains,12
1967,Books,1
1967,Samsonite,15
1967,System,15
1967,Trains,4
1968,Books,1
1968,Samsonite,24
1968,System,17
1968,Trains,7
1969,Books,1
1969,Dacta,1
1969,Duplo,2
1969,Legoland,3
1969,Samsonite,24
1969,System,31
1969,Trains,25
1969,Universal Building Set,4
1970,Books,1
1970,Duplo,2
1970,LEGOLAND,12
1970,Minitalia,4
1970,Samsonite,11
1970,System,1
1970,Trains,7
1970,Universal Building Set,3
1971,Books,1
1971,Gear,1
1971,Homemaker,2
1971,LEGOLAND,27
1971,Minitalia,5
1971,Samsonite,35
1971,Trains,2
1971,Universal Building Set,5
1972,Basic,1
1972,Books,2
1972,Dacta,4
1972,Duplo,1
1972,Gear,5
1972,Homemaker,1
1972,LEGOLAND,16
1972,Samsonite,5
1972,Trains,9
1972,Universal Building Set,1
1973,Basic,12
1973,Books,1
1973,Duplo,5
1973,Homemaker,8
1973,LEGOLAND,28
1973,Minitalia,10
1973,Samsonite,1
1973,Universal Building Set,11
1974,Basic,1
1974,Building Set with People,5
1974,Gear,2
1974,Homemaker,8
1974,LEGOLAND,13
1974,Trains,5
1974,Universal Building Set,6
1975,Books,1
1975,Building Set with People,6
1975,Duplo,7
1975,Gear,1
1975,Hobby Set,3
1975,LEGOLAND,16
1975,PreSchool,3
1975,Samsonite,1
1975,Trains,6
1975,Universal Building Set,1
1976,Basic,15
1976,Building Set with People,7
1976,Dacta,5
1976,Duplo,3
1976,Hobby Set,4
1976,LEGOLAND,28
1976,PreSchool,4
1976,Samsonite,1
1976,Trains,8
1976,Universal Building Set,1
1977,Basic,4
1977,Books,1
1977,Building Set with People,8
1977,Duplo,7
1977,Homemaker,3
1977,LEGOLAND,13
1977,Minitalia,2
1977,PreSchool,4
1977,Promotional,2
1977,Service Packs,11
1977,Technic,7
1977,Trains,3
1977,Universal Building Set,9
1978,Basic,8
1978,Building Set with People,3
1978,Castle,1
1978,Duplo,3
1978,Gear,1
1978,Hobby Set,1
1978,Homemaker,5
1978,LEGOLAND,6
1978,PreSchool,3
1978,Service Packs,3
1978,Space,4
1978,Technic,9
1978,Town,36
1978,Trains,4
1979,Castle,3
1979,Dacta,3
1979,Duplo,6
1979,Fabuland,15
1979,Homemaker,3
1979,Samsonite,1
1979,Scala,6
1979,Service Packs,1
1979,Space,22
1979,Technic,12
1979,Town,18
1980,Basic,18
1980,Books,2
1980,Dacta,5
1980,Duplo,11
1980,Education,1
1980,Fabuland,5
1980,Gear,1
1980,Homemaker,1
1980,Scala,3
1980,Service Packs,16
1980,Space,5
1980,Technic,4
1980,Town,17
1980,Trains,28
1981,Basic,10
1981,Books,2
1981,Castle,3
1981,Dacta,2
1981,Duplo,7
1981,Fabuland,6
1981,Promotional,1
1981,Service Packs,16
1981,Space,6
1981,Technic,5
1981,Town,15
1981,Trains,2
1982,Basic,5
1982,Boats,3
1982,Books,1
1982,Dacta,3
1982,Duplo,9
1982,Fabuland,18
1982,Homemaker,1
1982,Promotional,2
1982,Service Packs,13
1982,Space,4
1982,Technic,5
1982,Town,10
1983,Basic,7
1983,Castle,1
1983,Dacta,2
1983,Duplo,20
1983,Fabuland,8
1983,Gear,2
1983,Service Packs,2
1983,Space,9
1983,Technic,3
1983,Town,13
1983,Trains,9
1984,Basic,5
1984,Books,2
1984,Castle,10
1984,Dacta,6
1984,Duplo,17
1984,Fabuland,11
1984,Gear,3
1984,Service Packs,1
1984,Space,9
1984,Technic,4
1984,Town,17
1985,Basic,30
1985,Books,2
1985,Castle,3
1985,Dacta,19
1985,Duplo,19
1985,Fabuland,17
1985,Gear,1
1985,Promotional,1
1985,Service Packs,2
1985,Space,15
1985,Technic,1
1985,Town,24
1985,Trains,6
1985,Universal Building Set,4
1986,Basic,28
1986,Castle,5
1986,Dacta,31
1986,Duplo,18
1986,Fabuland,7
1986,Model Team,3
1986,Promotional,1
1986,Service Packs,5
1986,Space,17
1986,Technic,8
1986,Town,26
1986,Trains,3
1987,Basic,32
1987,Boats,3
1987,Books,4
1987,Castle,7
1987,Dacta,6
1987,Duplo,24
1987,Fabuland,10
1987,Service Packs,72
1987,Space,17
1987,Technic,1
1987,Town,24
1987,Universal Building Set,1
1988,Basic,5
1988,Books,5
1988,Castle,5
1988,Dacta,4
1988,Duplo,12
1988,Fabuland,7
1988,Gear,1
1988,Service Packs,1
1988,Space,12
1988,Technic,5
1988,Town,21
1989,Assorted,1
1989,Basic,19
1989,Books,4
1989,Castle,3
1989,Dacta,2
1989,Duplo,18
1989,Fabuland,3
1989,Pirates,12
1989,Promotional,1
1989,Service Packs,41
1989,Space,12
1989,Technic,7
1989,Town,23
1990,Assorted,1
1990,Basic,24
1990,Books,5
1990,Castle,8
1990,Dacta,3
1990,Duplo,24
1990,Model Team,1
1990,Promotional,1
1990,Service Packs,20
1990,Space,8
1990,Technic,7
1990,Town,27
1991,Assorted,1
1991,Basic,11
1991,Boats,3
1991,Books,5
1991,Castle,1
1991,Dacta,8
1991,Duplo,36
1991,Model Team,1
1991,Pirates,5
1991,Promotional,1
1991,Service Packs,22
1991,Space,13
1991,Technic,6
1991,Town,23
1991,Trains,12
1992,Assorted,1
1992,Basic,13
1992,Books,4
1992,Castle,9
1992,Dacta,6
1992,Duplo,17
1992,Pirates,9
1992,Promotional,2
1992,Service Packs,12
1992,Space,6
1992,Technic,6
1992,Town,27
1993,Assorted,1
1993,Basic,10
1993,Books,4
1993,Castle,14
1993,Dacta,9
1993,Duplo,33
1993,Gear,11
1993,Model Team,2
1993,Pirates,6
1993,Promotional,1
1993,Service Packs,31
1993,Space,12
1993,Technic,8
1993,Town,23
1993,Trains,3
1994,Assorted,3
1994,Basic,13
1994,Belville,4
1994,Books,4
1994,Castle,4
1994,Dacta,2
1994,Duplo,42
1994,Gear,1
1994,Model Team,1
1994,Pirates,13
1994,Service Packs,17
1994,Space,10
1994,Technic,8
1994,Town,29
1994,Trains,3
1995,Aquazone,6
1995,Assorted,1
1995,Basic,11
1995,Belville,3
1995,Books,6
1995,Castle,7
1995,Dacta,13
1995,Duplo,37
1995,Freestyle,28
1995,Model Team,1
1995,Pirates,4
1995,Primo,2
1995,Promotional,1
1995,Service Packs,13
1995,Space,6
1995,Technic,9
1995,Town,21
1995,Trains,2
1996,Aquazone,7
1996,Assorted,1
1996,Basic,25
1996,Belville,5
1996,Boats,3
1996,Books,6
1996,Castle,6
1996,Dacta,5
1996,Duplo,37
1996,Education,1
1996,Freestyle,9
1996,Gear,2
1996,Model Team,1
1996,Pirates,8
1996,Primo,2
1996,Service Packs,36
