Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"9664-1","Education","FIRST LEGO League Challenge",2013,"Nature's Fury Challenge Kit",3,2031,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,150.0000,166.9600,"",""
"10232-1","Creator Expert","Modular Buildings Collection",2013,"Palace Cinema",6,2196,129.99,149.99,199.99,139.99,5702014971899,673419189729,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,311.2500,264.7000,"01/03/2013","31/12/2017"
"10233-1","Creator Expert","Trains",2013,"Horizon Express",6,1351,79.99,129.99,169.99,,5702014971912,,53.5,27.8,8.6,1.82,"",0,0,0,,0,0,,,,,,,,,263.5800,226.2500,"01/01/2013","31/12/2014"
"10234-1","Creator Expert","Landmarks",2013,"Sydney Opera House",,2989,249.99,319.99,379.99,279.99,5702014971929,,58.2,48,17,5.54,"",0,0,0,,0,0,,,,,,,,,345.4900,199.0300,"01/09/2013","31/12/2016"
"10235-1","Creator Expert","Winter Village Collection",2013,"Winter Village Market",9,1261,79.99,99.99,129.99,,5702014971936,673419189767,47.5,37.1,6.5,,"",0,0,0,,0,0,,,,,,,,,197.7100,189.7900,"01/10/2013","31/12/2014"
"10236-1","Star Wars","Ultimate Collector Series",2013,"Ewok Village",17,1990,199.99,249.99,299.99,249.99,5702014974777,,58.1914,48.006,9.0932,3.15,"",0,0,0,,0,0,,,,,,,,,521.4600,493.6900,"01/09/2013","31/12/2016"
"10237-1","The Lord of the Rings","The Two Towers",2013,"Tower of Orthanc",5,2359,169.99,199.99,249.99,199.99,5702014975194,,48.006,58.1914,9.0932,3.18,"",0,0,0,,0,0,,,,,,,,,573.8300,513.8300,"01/07/2013","31/07/2015"
"10240-1","Star Wars","Ultimate Collector Series",2013,"Red Five X-wing Starfighter",1,1559,169.99,199.99,249.99,199.99,5702014975323,673419191869,58.1914,37.7952,8.7122,2.32,"",0,0,0,,0,0,,,,,,,,,308.2100,202.6600,"01/06/2013","31/12/2015"
"10250-1","Seasonal","Chinese Traditional Festival",2013,"Year of the Snake",,243,,,,,5702015018883,,38.2,26.2,7.1,,"",0,0,0,,0,0,,,,,,,,,121.7200,75.0000,"01/01/2013","31/12/2013"
"10500-1","Duplo","",2013,"Horse Stable",2,44,24.99,29.99,34.99,29.99,5702014973275,673419215589,38.2016,26.1874,9.398,0.78,"",0,0,0,,0,0,,,,,,,,,27.4000,,"01/01/2013","31/12/2014"
"10501-1","Duplo","Zoo",2013,"Zoo Friends",,5,3.99,4.99,5.99,,5702014973350,673419190855,,,,,"",0,0,0,,0,0,,,,,,,,,9.0000,4.2600,"",""
"10502-1","Duplo","Zoo",2013,"Zoo Bus",2,19,24.99,29.99,39.99,,5702014973367,,,,,0.62,"",0,0,0,,0,0,,,,,,,,,42.2700,32.8500,"",""
"10503-1","Duplo","Circus",2013,"Circus Show",1,25,14.99,14.99,17.99,,5702014973282,673419190794,,,,,"",0,0,0,,0,0,,,,,,,,,23.6200,,"",""
"10504-1","Duplo","Circus",2013,"My First Circus",3,62,34.99,34.99,39.99,,5702014973299,673419190800,48,28.2,7.4,0.95,"",0,0,0,,0,0,,,,,,,,,64.9500,37.0000,"01/01/2013","31/12/2014"
"10505-1","Duplo","",2013,"Play House",3,83,49.99,59.99,69.99,59.99,5702014973305,,48.006,37.7952,11.2014,1.87,"",0,0,0,,0,0,,,,,,,,,80.0000,74.1500,"01/01/2013","30/09/2014"
"10506-1","Duplo","Trains",2013,"Train Accessory Set",,24,15.99,19.99,24.99,19.99,5702014973329,673419215770,28.194,26.1874,9.5504,0.66,"",0,0,0,,0,0,,,,,,,,,62.5700,16.3700,"01/06/2013","30/09/2014"
"10507-1","Duplo","Trains",2013,"My First Train Set",2,52,40.99,44.99,49.99,49.99,5702014973336,673419215787,54.0004,28.194,9.0932,1.238306,"",0,0,0,,0,0,,,,,,,,,86.5900,20.0000,"01/06/2013","31/01/2014"
"10508-1","Duplo","Trains",2013,"Deluxe Train Set",3,134,99.99,109.99,129.99,119.99,5702014973343,,58.1914,48.006,12.7,3.36,"",0,0,0,,0,0,,,,,,,,,185.5800,81.9300,"01/06/2013","31/01/2015"
"10509-1","Duplo","Planes",2013,"Dusty and Chug",2,16,14.99,14.99,14.99,,5702014973428,673419190923,26.2,14.1,9.1,0.25,"",0,0,0,,0,0,,,,,,,,,22.9100,13.5000,"",""
"10510-1","Duplo","Planes",2013,"Ripslinger's Air Race",2,40,19.99,24.99,24.99,29.99,5702014973442,673419190930,35.4076,19.1008,11.811,0.56,"",0,0,0,,0,0,,,,,,,,,14.9700,16.0000,"",""
"10511-1","Duplo","Planes",2013,"Skipper's Flight School",3,53,29.99,39.99,39.99,,5702014973459,673419190947,38.2,26.2,9.4,0.74,"",0,0,0,,0,0,,,,,,,,,67.6400,34.9500,"01/07/2013","31/12/2014"
"10512-1","Duplo","Jake and the Never Land Pirates",2013,"Jake's Treasure Hunt",1,22,9.99,14.99,14.99,,5702014973381,673419190886,26.2,14.1,7.2,0.26,"",0,0,0,,0,0,,,,,,,,,53.6000,13.4600,"",""
"10513-1","Duplo","Jake and the Never Land Pirates",2013,"Never Land Hideout",2,37,19.99,24.99,24.99,,5702014973404,673419190909,35.4,19.1,9.1,0.52,"",0,0,0,,0,0,,,,,,,,,39.5700,15.8300,"01/06/2013","31/12/2014"
"10514-1","Duplo","Jake and the Never Land Pirates",2013,"Jake's Pirate Ship Bucky",2,56,39.99,39.99,39.99,49.99,5702014973411,673419190916,48.006,28.194,11.811,1.1,"",0,0,0,,0,0,,,,,,,,,81.0000,59.3400,"01/06/2013","31/12/2015"
"10515-1","Duplo","Disney Princess",2013,"Ariel's Undersea Castle",1,39,19.99,29.99,29.99,,5702014973466,673419190954,28.2,26.2,9.6,0.62,"",0,0,0,,0,0,,,,,,,,,99.9500,35.0000,"01/01/2013","31/12/2014"
