Number,Theme,Subtheme,Year,Set name,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),Value new (USD),Value used (USD),Launch date,Exit date
700_1_4-1,System,Supplemental,1953,Individual 1 x 2 Bricks,,,,,,,,,
700_3_4-1,System,Supplemental,1953,Individual 2 x 3 Bricks,,,,,,,,,
700_B-1,System,Supplemental,1953,Early LEGO Windows/Doors (without Glass),,,,,,,,,
700_F-1,System,Supplemental,1953,Automatic Binding Bricks - Small Brick Set  (Lego Mursten),,,,,,,,,
700_1-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_16-1,System,Supplemental,1954,Individual 2 x 8 Bricks,,,,,,,,,
700_2-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_20-1,System,Supplemental,1954,Individual 2 x 10 Bricks,,,,,,,,,
700_24-1,System,Supplemental,1954,Individual 2 x 12 Bricks,,,,,,,,,
700_28-1,System,Supplemental,1954,Individual 2 x 14 Bricks,,,,,,,,,
700_3-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_3A-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_4-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_5-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_6-1,System,Town Plan,1954,Gift Package (Lego Mursten),,,,,,,,,
700_C-1,System,Supplemental,1954,Tall Classic Windows/Door (with Glass),,,,,,,,,
700_C_1-1,System,Supplemental,1954,Individual 1 x 6 x 4 Panorama Window (with glass),,,,,,,,,
700_C_2-1,System,Supplemental,1954,Individual 1 x 6 x 3 3-Pane Window (with glass),,,,,,,,,
700_C_3-1,System,Supplemental,1954,Individual 1 x 6 x 3 Shutter Window (with glass),,,,,,,,,
700_C_4-1,System,Supplemental,1954,Individual 1 x 4 x 3 Window (with glass),,,,,,,,,
700_C_5-1,System,Supplemental,1954,Individual 1 x 3 x 3 Window (with glass),,,,,,,,,
700_C_6-1,System,Supplemental,1954,Individual 1 x 2 x 4 Door (with glass),,,,,,,,,
700_E-1,System,Supplemental,1954,Individual 10 x 20 Baseplate,,,,,,,,,
700_H-1,System,Supplemental,1954,Individual 4 x 4 Corner Bricks,,,,,,,,,
1200-1,System,Town Plan,1955,"LEGO Town Plan Board, Large Plastic",1.0,,,,,,201.08,,
1210-2,System,Town Plan,1955,Small Store Set,30.0,,,,,,,,
1211-2,System,Town Plan,1955,Small House Set,19.0,,,,,,,,
1212-2,System,Town Plan,1955,Small House - Left Set,21.0,,,,,,,,
1213-2,System,Town Plan,1955,Small House - Right Set,21.0,,,,,,,,
1214-2,System,Supplemental,1955,Windows and Doors,6.0,,,,,,,,
1215-2,System,Supplemental,1955,2 x 8 & 2 x 10 Bricks,5.0,,,,,,,,
1216-2,System,Supplemental,1955,4 x 4 Corner Bricks,5.0,,,,,,,,
1217-2,System,Supplemental,1955,2 x 4 Bricks,13.0,,,,,,,,
1218-2,System,Supplemental,1955,2 x 3 Bricks,15.0,,,,,,,,
1219-2,System,Supplemental,1955,2 x 2 Bricks,20.0,,,,,,,,
1220-2,System,Supplemental,1955,1 x 2 Bricks,26.0,,,,,,,,
1221-2,System,Supplemental,1955,1 x 1 Bricks,40.0,,,,,,,,
1222-2,System,Supplemental,1955,1 x 1 Round Bricks,40.0,,,,,,,,
1223-2,System,Supplemental,1955,2 x 2 & 2 x 4 Curved Bricks,14.0,,,,,,,,
1224-2,System,Supplemental,1955,8 Named Beams,8.0,,,,,,97.2,,
1225-2,System,Supplemental,1955,Mixed Plates Parts Pack,6.0,,,,,,,,
1230-2,System,Supplemental,1955,Windows and Door without Glass,7.0,,,,,,73.65,,
1235-2,System,Supplemental,1955,Garage Plate and Door,3.0,,,,,,,,
1236-2,System,Town Plan,1955,Garage,59.0,,,,,,,,
1237-2,System,Town Plan,1955,Service Station,,,,,,,,,
1240-2,System,Supplemental,1955,8 Road Signs,8.0,,,,,,,,
1241-2,System,Supplemental,1955,8 Road Signs,8.0,,,,,,,,
1247-2,System,Supplemental,1955,Esso Pumps/Sign,2.0,,,,,,,,
1248-2,System,Supplemental,1955,Painted Trees and Bushes,6.0,,,,,,,,
1250-2,System,HO 1:87 Vehicles,1955,1:87 Esso Bedford Tanker,1.0,,,,,,,,
1251-2,System,HO 1:87 Vehicles,1955,1:87 Esso Bedford Truck,1.0,,,,,,,,
